feature,gain,split
sen_s7,2274569.3366088867,129
nw_diff,1818289.8915863037,280
rax_dead_D,1058182.2205123901,470
obs_s7,547592.3809509277,63
mmr_diff,328159.12075042725,255
sen_s9,280204.0470504761,92
avg_rank_d,263379.5047073364,94
xp_diff,192061.96111297607,59
avg_mmr_d,161662.95794677734,106
sen_d,160082.61721038818,91
hero_wr_r9,143990.1577911377,238
d300_diff,139290.0702972412,55
t,117156.30016326904,141
lv_diff,109064.99248504639,98
hero_wr_r4,102648.38938140869,264
obs_r,101560.24295806885,106
avg_mmr_r,92158.49256896973,133
hero_wr_r5,89947.71053314209,278
towers_diff,87251.63534545898,100
obs_s9,83049.6381072998,56
hero_wr_r0,79106.66812133789,269
hero_wr_r3,76466.55937957764,264
k_s5,66710.02252197266,78
obs_s5,62598.53366851807,63
hero_wr_r6,60104.38562774658,218
as_s6,58679.121154785156,43
obs_s6,54713.78600311279,60
avg_rank_r,53382.030113220215,91
kp_d,53350.86502075195,54
lh_s4,52148.80821990967,82
hero_wr_r7,51480.348052978516,199
rax_dead_R,50132.87317657471,109
k_s0,49882.413093566895,55
hero_wr_r1,49394.35215759277,199
rank_tier_s2,48945.11493682861,47
sen_r,48665.77175140381,94
hero_wr_r2,48436.01025390625,182
obs_d,43555.269844055176,76
computed_mmr_s5,42629.1584777832,53
hero_wr_r8,42228.911140441895,184
obs_s3,41510.12631225586,58
d_s8,41391.02116394043,49
dxp300_diff,40314.65362548828,18
dd300_diff,38519.91786193848,53
as_s3,38126.28303527832,60
as_s2,37952.8440322876,56
d_s2,37008.2380065918,46
dn_d,36638.48536682129,92
computed_mmr_s1,35192.83639526367,102
lh_diff,33550.035636901855,82
lh_s8,31230.47200012207,58
computed_mmr_s8,30774.837936401367,94
as_s5,29506.8497467041,44
dn_s5,27649.383277893066,88
computed_mmr_s9,27560.507835388184,62
rax_diff,27318.24777984619,51
obs_s8,27050.774017333984,78
lh_s7,27030.195037841797,67
dmg_diff,26894.780212402344,78
dk300_diff,26842.3038482666,35
dn_diff,25685.596313476562,87
k_s7,25304.169677734375,41
lv_r,25041.54987335205,34
as_s9,23621.911712646484,61
dxp300_d,23534.22430419922,33
computed_mmr_s0,23047.992027282715,67
computed_mmr_s6,22558.348106384277,60
lh_s5,22509.74055480957,59
lh_s6,22354.47592163086,45
k_s1,22335.79554748535,43
sen_s8,22280.432106018066,66
sen_s2,22059.346000671387,65
d_d,21975.62535095215,25
computed_mmr_s7,21903.691108703613,76
sen_s3,21854.041931152344,63
kp_diff,21351.6649017334,43
dn_s6,21147.70417022705,79
computed_mmr_s3,21124.50235748291,77
dn_s0,21077.201934814453,63
lh_s3,21019.19605255127,54
d_s0,20993.979370117188,44
d_s1,20545.084075927734,44
dmg_s9,20530.21117401123,59
lh_s0,20091.61499786377,66
k_s6,19983.791961669922,48
obs_s0,19950.50771331787,39
dmg_s0,19824.924850463867,68
d_s9,19754.766082763672,42
lh_s9,19632.40023803711,63
nw_s9,19630.130111694336,26
dd60_diff,19609.017112731934,36
lh_s2,19531.827354431152,58
as_s7,19446.80950164795,51
nw_s8,18956.529014587402,44
dmg_s5,18752.473388671875,44
dxp300_r,18461.993209838867,24
obs_s1,18106.7550201416,47
sen_s1,17837.732360839844,53
kp_s5,17799.059143066406,52
dn_s7,17561.30322265625,70
dmg_d,17538.254989624023,51
lh_s1,17461.127906799316,38
dmg_s7,17420.139373779297,48
k_s9,17340.7015914917,43
dn_r,17101.724060058594,46
k_s3,16776.045471191406,36
kp_r,16696.800994873047,57
dn_s8,16193.028991699219,61
nw_s5,16022.227127075195,36
dn_s9,15970.768943786621,53
dn_s3,15829.72395324707,70
dmg_s2,15768.954978942871,53
d_s6,15477.009948730469,37
k_s8,15389.89436340332,46
dn_s1,15102.52823638916,52
d_s7,14787.983070373535,45
sen_s5,14697.121940612793,35
obs_diff,14273.593338012695,19
k_diff,14212.389114379883,31
as_s1,13883.857460021973,39
kp_s9,13868.572982788086,43
kp_s2,13623.658142089844,44
dk60_diff,13616.419776916504,26
dmg_r,13503.874977111816,46
dn_s2,13226.614227294922,45
obs_s2,13202.601020812988,42
dxp300_s5,13190.546920776367,13
lv_d,12940.176109313965,21
kp_s7,12863.428100585938,42
creep_rad_bot,12623.501861572266,5
nw_s0,11871.370979309082,33
xp_s4,11842.744705200195,30
computed_mmr_s2,11578.310005187988,56
dn_s4,11577.111022949219,50
dmg_s6,11276.49299621582,37
computed_mmr_s4,11187.706146240234,48
d_s3,11064.726974487305,39
d_s5,10975.637939453125,46
kp_s0,10852.121994018555,33
sen_s4,10840.703002929688,36
kp_s1,10712.252014160156,28
dmg_s8,10647.258575439453,46
rank_tier_s9,10618.151054382324,33
dmg_s1,10444.03099822998,41
as_s8,10329.906509399414,36
xp_s7,10239.393005371094,21
sen_s6,10229.937950134277,36
lh_r,10165.715003967285,26
lh_d,10009.2679977417,34
as_s0,9966.480949401855,31
nw_d,9932.650131225586,20
d_s4,9928.149925231934,29
sen_s0,9635.038078308105,40
sen_diff,9493.149017333984,43
nw_s3,9270.346336364746,36
dmg_s3,9196.490936279297,34
as_s4,9143.238861083984,32
k_s2,9070.927963256836,41
rank_tier_s4,8916.21297454834,38
nw_s6,8492.497283935547,29
dlh300_diff,8337.175971984863,14
obs_s4,8108.1750564575195,28
creep_dir_top,7839.0400390625,1
nw_s1,7626.861953735352,22
nw_r,7490.400054931641,18
dxp300_s9,7325.920013427734,12
nw_s4,7310.6579513549805,30
kp_s8,7261.234413146973,28
xp_s9,7249.002014160156,15
d_diff,7228.296562194824,24
kp_s3,7182.52001953125,34
dmg_s4,7109.106986999512,27
rank_tier_s0,6831.31404876709,23
xp_s3,6700.538993835449,20
dxp300_s8,6619.391937255859,9
d300_d,6607.941024780273,14
k_s4,6561.466987609863,25
k_r,6559.870986938477,16
xp_s2,6471.541679382324,22
rank_tier_s6,6391.04997253418,29
nw_s7,6375.28596496582,27
dxp300_s3,6086.517044067383,16
rank_tier_s5,6037.223983764648,29
nw_s2,6017.442977905273,21
rank_tier_s3,6003.603012084961,25
das60_diff,5982.654006958008,10
k_d,5912.845024108887,22
rank_tier_s8,5896.980926513672,30
kp_s4,5839.212989807129,24
xp_s0,5809.906959533691,21
dxp300_s0,5736.564018249512,6
rank_tier_s1,5479.569007873535,28
kp_s6,5338.654960632324,21
xp_s6,4898.475967407227,17
lv_s5,4720.705078125,7
dxp300_s2,4522.882026672363,15
xp_r,4317.016021728516,14
xp_s8,4288.7756423950195,11
d_r,4213.142044067383,16
creep_rad_top,4141.88899230957,8
bb_diff,4105.546081542969,8
dxp300_s4,4045.008010864258,7
xp_s1,3962.483085632324,13
rank_tier_s7,3944.5589599609375,20
towers_dead_R,3938.344169616699,18
dlh300_s2,3890.8970947265625,2
dxp300_s1,3845.768997192383,11
xp_s5,3681.4629669189453,12
towers_dead_D,3632.5110092163086,14
d300_s8,3329.5249938964844,3
d300_r,3271.1880493164062,8
lv_s3,3127.1929779052734,7
creep_rad_mid,2987.8440551757812,3
ddmg300_s5,2935.5059509277344,8
dxp300_s7,2917.1959838867188,6
lv_s0,2844.9751892089844,7
dxp60_diff,2732.6209869384766,7
lv_s4,2275.4851837158203,9
dlh300_r,2256.795997619629,10
lv_s8,2248.084976196289,8
ddmg300_s0,2186.9070053100586,7
das300_diff,2114.8610076904297,7
d60_r,2033.052978515625,6
lv_s7,2000.3130493164062,4
d300_s2,1701.1590118408203,5
ddmg300_s9,1614.2190017700195,7
xp_d,1587.2639770507812,5
bb_r,1560.7880249023438,3
d60_diff,1493.8619995117188,5
d300_s3,1454.8199462890625,1
ddmg300_s6,1413.1719818115234,3
lv_s9,1270.8099899291992,7
dlh300_s9,1266.4849853515625,4
creep_dir_bot,1240.6799774169922,5
dxp300_s6,1213.1070251464844,3
lv_s6,1209.5809936523438,6
dd300_r,1154.328987121582,4
ddmg300_s4,1109.4176177978516,5
lv_s1,1050.75,4
dlh300_s3,1028.5350036621094,3
dlh300_s0,964.0770111083984,4
dlh300_s4,908.739990234375,2
lv_s2,899.0049743652344,4
bb_d,823.7880096435547,3
ddmg300_s7,785.8650054931641,3
dlh300_d,745.7449951171875,2
dlh300_s8,741.010009765625,1
ddmg300_s1,713.3950042724609,5
ddmg300_s8,626.9080047607422,3
ddmg300_s3,612.1599807739258,3
dist_0_4,597.2770156860352,3
ddmg300_r,583.0670166015625,2
ddmg300_diff,549.5780029296875,3
das300_s8,537.8600006103516,2
ddmg60_s4,488.81201171875,1
dxp60_s5,470.92401123046875,1
dlh300_s5,461.37799072265625,2
d300_s4,427.52099609375,1
dd60_r,419.75799560546875,1
das60_s2,399.21299743652344,2
creep_dir_mid,389.1520080566406,1
das300_s2,362.29998779296875,1
d60_s4,349.3659973144531,1
dd300_d,326.0439910888672,2
d60_s2,323.2490005493164,2
das300_s7,311.0190124511719,1
dxp60_r,296.68701171875,1
dist_6_9,294.2250061035156,1
das300_s1,288.00299072265625,1
d60_s3,286.5429992675781,1
ddmg300_d,256.33599853515625,2
dlh300_s6,252.94309997558594,2
das300_r,197.40899658203125,1
dk300_s6,191.06900024414062,1
das60_d,171.64199829101562,1
dk300_s5,161.61000061035156,1
d300_s0,155.77099609375,1
dist_6_7,149.54200744628906,1
ddmg300_s2,127.60199737548828,1
d60_s6,0.0,0
d60_s5,0.0,0
d60_s1,0.0,0
d60_s0,0.0,0
dxp60_s9,0.0,0
dxp60_s8,0.0,0
dxp60_s7,0.0,0
dxp60_s6,0.0,0
dxp60_s4,0.0,0
dxp60_s3,0.0,0
dxp60_s2,0.0,0
dlh300_s1,0.0,0
dlh60_s9,0.0,0
dlh60_s8,0.0,0
dlh60_s7,0.0,0
dlh60_s6,0.0,0
dlh60_s5,0.0,0
dlh60_s4,0.0,0
dlh60_s3,0.0,0
dlh60_s2,0.0,0
dlh60_s1,0.0,0
dlh60_s0,0.0,0
dxp60_s1,0.0,0
dxp60_s0,0.0,0
das300_s9,0.0,0
das300_s6,0.0,0
das300_s5,0.0,0
das300_s4,0.0,0
das300_s3,0.0,0
das300_s0,0.0,0
das60_s9,0.0,0
das60_s8,0.0,0
das60_s7,0.0,0
das60_s6,0.0,0
dlh300_s7,0.0,0
d300dn_s5,0.0,0
d300dn_s4,0.0,0
d300dn_s3,0.0,0
d300dn_s2,0.0,0
d300dn_s1,0.0,0
d300dn_s0,0.0,0
d60dn_s9,0.0,0
d60dn_s8,0.0,0
d60dn_s7,0.0,0
d60dn_s6,0.0,0
d60dn_s5,0.0,0
d60dn_s4,0.0,0
d60dn_s3,0.0,0
d60dn_s2,0.0,0
d60dn_s1,0.0,0
d60dn_s0,0.0,0
das60_s5,0.0,0
das60_s4,0.0,0
das60_s3,0.0,0
das60_s1,0.0,0
das60_s0,0.0,0
dd300_s9,0.0,0
dd300_s8,0.0,0
dd300_s7,0.0,0
dd300_s6,0.0,0
dd300_s5,0.0,0
dd300_s4,0.0,0
dd300_s3,0.0,0
dd300_s2,0.0,0
dd300_s1,0.0,0
dd300_s0,0.0,0
d300dn_s9,0.0,0
d300dn_s8,0.0,0
d300dn_s7,0.0,0
d300dn_s6,0.0,0
dd60_s9,0.0,0
dd60_s8,0.0,0
dd60_s7,0.0,0
dd60_s6,0.0,0
dd60_s5,0.0,0
dd60_s4,0.0,0
dd60_s3,0.0,0
dd60_s2,0.0,0
dd60_s1,0.0,0
dd60_s0,0.0,0
dk300_s9,0.0,0
dk300_s8,0.0,0
dk300_s7,0.0,0
dk300_s4,0.0,0
creep_diff_mid,0.0,0
creep_diff_top,0.0,0
dk300_s3,0.0,0
dk300_s2,0.0,0
dk300_s1,0.0,0
dk300_s0,0.0,0
dk60_s9,0.0,0
dk60_s8,0.0,0
dk60_s7,0.0,0
dk60_s6,0.0,0
dk60_s5,0.0,0
dk60_s4,0.0,0
dk60_s3,0.0,0
dk60_s2,0.0,0
dk60_s1,0.0,0
dk60_s0,0.0,0
creep_diff_bot,0.0,0
ddmg60_s9,0.0,0
ddmg60_s8,0.0,0
ddmg60_s7,0.0,0
ddmg60_s6,0.0,0
ddmg60_s5,0.0,0
ddmg60_s3,0.0,0
ddmg60_s2,0.0,0
ddmg60_s1,0.0,0
ddmg60_s0,0.0,0
dist_8_9,0.0,0
dist_7_9,0.0,0
dist_7_8,0.0,0
dist_6_8,0.0,0
dist_5_9,0.0,0
dist_5_8,0.0,0
dist_5_7,0.0,0
dist_5_6,0.0,0
dist_4_9,0.0,0
dist_4_8,0.0,0
dist_4_7,0.0,0
dist_4_6,0.0,0
dist_4_5,0.0,0
dist_3_9,0.0,0
dist_3_8,0.0,0
dist_3_7,0.0,0
dist_3_6,0.0,0
dist_3_5,0.0,0
d60_d,0.0,0
dist_3_4,0.0,0
dist_2_9,0.0,0
dist_2_8,0.0,0
dist_2_7,0.0,0
dist_2_6,0.0,0
dist_2_5,0.0,0
dist_2_4,0.0,0
dist_2_3,0.0,0
dist_1_9,0.0,0
dist_1_8,0.0,0
dist_1_7,0.0,0
dist_1_6,0.0,0
dist_1_5,0.0,0
dist_1_4,0.0,0
dist_1_3,0.0,0
dist_1_2,0.0,0
aegis_D,0.0,0
aegis_R,0.0,0
dist_0_9,0.0,0
dist_0_8,0.0,0
dist_0_7,0.0,0
dist_0_6,0.0,0
dist_0_5,0.0,0
dist_0_3,0.0,0
dist_0_2,0.0,0
dist_0_1,0.0,0
tsd_s9,0.0,0
tsd_s8,0.0,0
tsd_s7,0.0,0
tsd_s6,0.0,0
tsd_s5,0.0,0
tsd_s4,0.0,0
tsd_s3,0.0,0
dd60_d,0.0,0
dk300_d,0.0,0
dk300_r,0.0,0
dk60_d,0.0,0
dk60_r,0.0,0
ddmg60_diff,0.0,0
ddmg60_d,0.0,0
ddmg60_r,0.0,0
tsd_s2,0.0,0
tsd_s1,0.0,0
tsd_s0,0.0,0
bb_s9,0.0,0
bb_s8,0.0,0
bb_s7,0.0,0
bb_s6,0.0,0
bb_s5,0.0,0
bb_s4,0.0,0
bb_s3,0.0,0
dxp60_d,0.0,0
das300_d,0.0,0
das60_r,0.0,0
d300dn_diff,0.0,0
d300dn_d,0.0,0
d300dn_r,0.0,0
d60dn_diff,0.0,0
d60dn_d,0.0,0
d60dn_r,0.0,0
dlh60_diff,0.0,0
dlh60_d,0.0,0
dlh60_r,0.0,0
bb_s2,0.0,0
bb_s1,0.0,0
bb_s0,0.0,0
d300_s9,0.0,0
d300_s7,0.0,0
d300_s6,0.0,0
d300_s5,0.0,0
d300_s1,0.0,0
d60_s9,0.0,0
d60_s8,0.0,0
d60_s7,0.0,0
